,UNE FAIBLE IMPRESSION (A Faint Impression)  —  SHOT DECK  /  Rev 1.3,,,,,,,,,,,,,,
,"Dir: Shafi Chowdhury & Ishmam Zaman   |   Cam: Sony FX6 (S-Log3 / S-Gamut3.Cine, XAVC-I 10-bit)   |   Glass: Contax Zeiss primes  |   Move: Fisher 10 dolly",,,,,,,,,,,,,,
Shot #,# of Beats,Page/Section,Description / Action,Shot Size,Angle,Movement,Lens (mm),Filter,F-Stop / ISO,Subject(s),Audio,Est. Setups,Notes,Dialogue,Reference
,1. EXT. PARK BENCH – SUNRISE,,,,,,,,,,,,,,
1,3,p.1.1,"1. STATIC ESTABLISHING
Wide landscape shot; MAN paces back and forth in the foreground, in front of the bench 

2. DOLLY IN 
MAN sits down on the bench. Camera begins a slow dolly in toward him. 

3. FINISH
Dolly finishes over his shoulder, revealing MAN writing in his notebook. ",WS -> MCU,Eye,Static -> Slow Dolly In -> Hold,50,,800 / T2.8,MAN,VO + amb,1,Pre-dawn / sunrise-dependent call. Establish bench geography & light direction.,"START: ""Chère Maman... Je pense à toi""
END: ""Maman, dis-moi...parce que le mot--""",
2,2,p.1.2,"1. REVERSE ANGLE — WIDE MCU
Wide MCU, MAN sits slightly off-center on the bench, his face visible. He looks to the left of frame.

2. PAN RIGHT 
MAN's look starts a pan to the right, revealing WOMAN sitting on a bollard a couple of feet from the bench. Camera settles with WOMAN centered in frame. ",MCU,High (slight),Static -> Pan Right -> Hold,85,,800 / T2.8,MAN + WOMAN,VO,1,"Man forgets the word. Three ""Appelle"" O.S. On the second, camera begins the pan to reveal WOMAN on bollard. Third ""Appelle"" is heard slightly before her reveal. ","START: ""Le mot... beckons..."" 
END: ""Appelle"" ""Appelle"" ""Appelle"" ",
3,3,p.1.3,"1. SIDE-ANGLE CU — MAN
Camera positioned on WOMAN's side of the bench. Head centered; primarily see one side of his face. When he speaks to WOMAN, he turns to reveal his full face

2. TILT DOWN — NOTEBOOK
MAN returns to his notebook. Camera tilts down to reveal. 

3. PAN/FOLLOW — MAN 
Departure. Tilts up from notebook. MAN gets up from the bench and takes a few steps. Camera pans with him, following his movement. ",CU,Eye,"Static -> 
Tilt Down -> 
Tilt Up -> 
Pan/Follow",85,,800 / T2.8,MAN,Dialogue (sync),1,"The notebook reveal shows what he has written. He gets up after he tells her directions. 

EDIT: Intercut SHOT 3 and SHOT 4 throughout the conversation.
","START: ""Le mot m'appelle loin du confort..."" 
END: ""If you have gone too far... you'll know""",
4,1,p.1-2,"RUCKENFIGUR MCU — WOMAN
Camera positioned behind her. She occupies the left half of the frame, with the landscape filling the right. Only see the back of her head until she speaks to MAN, when she turns enough to reveal half of her face.",MCU,Eye,Static,100,,800 / T2.8,WOMAN,Dialogue (sync),1,"WOMAN holds up the book to the right of her. 

EDIT: Intercut SHOT 3 and SHOT 4 throughout the conversation.","START: ""Do you come here often?"" 
END: ""No, translation."" ",
5,1,p.2,"WIDE LANDSCAPE
Mid-conversation; same as 1.2. MAN on the bench, with WOMAN visible sitting on the bollard a few feet away. Both MAN and WOMAN are held within the landscape. ",WS,Eye,Static,85,,800 / T2.8,MAN + WOMAN,Dialogue (sync),1,Place in between the intercut of 3 and 4 to establsih the WOMAN's presence ,"""Would you happen to know the way out?""",
6,1,p.2,"REVERSE ANGLE — WIDE MCU (WOMAN)
Clean single of WOMAN from the opposite side, facing her. WOMAN watches MAN get up and take a few steps. Turns her attention back to her book. ",MCU,High (slight),Static,85,,800 / T2.8,WOMAN,Dialogue (sync),1,Looks to the right of frame. Then looks down to her book. ,N/A,
7,5,p.3,"1. SIDE ANGLE / MAN + WOMAN
MAN dominates left frame; WOMAN small and out of focus on right.

2. WIND REACTION
Same frame. Gust hits; MAN looks toward WOMAN; WOMAN comes into focus.

3. WOMAN STANDS
WOMAN rises; paper crinkle is heard. 

4. PAN RIGHT / LANDSCAPE REVEAL
Camera pans right into the wide landscape, with two foreground trees. 

5. WOMAN BETWEEN TREES
Final composition with WOMAN framed between the trees.",CU -> WS,Eye,Static -> Pan Right -> Hold,50,,800 / T2.8,MAN + WOMAN,Dialogue + wind,1,"Visual reference: Edvard Munch, The Voice, Summer Night (1896). The final composition should evoke the painting's framing of the woman between the trees. 

Cigarette smoke should visibly drift toward WOMAN. 

MAN should react to he paper crinkle, turning his head right. ","START: ""If it's not translatable..."" 
END: ""Ha... he has a rebellious turn of mind""",
8,1,p.3,"MEDIUM SHOT — BENCH
Notebook and loose paper on the bench. A gust of wind sends the paper flying. ",MS,High,Static,50,,800 / T2.8,Bench + Paper,wind,2,Paper-in-air is a tricky FX beat — multiple takes + possible insert of paper. Transition out of Sc.1.,N/A,
,3. EXT. PARK ROAD – MOMENTS LATER,,,,,,,,,,,,,,
,5,p.4,"1. WIDE STATIC SHOT
PAPER lays on floor. Man walks into frame.
MAN bends down as WOMAN walks into frame.
MAN looks up at WOMAN.
WOMAN walks to SPOT 2",WS,Eye,Static,35,,,,,1,"All one shot, choreographed movement, I want this to last almone one whole minute",,
,2. EXT. WOODS/FOREST/DAYTIME,,,,,,,,,,,,,,
,Memory Stain 1-01,p.4,"1. ESTABLISHING SHOT - WIDE, LOW
 A young boy, BOY, 7, picks up some soil. He thinks he
hears his name and turns in its direction. What is its
source?

2. PEDESTAL UP
BOY stands up.

3. MEDIUM SHOT - SLOW PUSH-IN 
Slowly, he walks. Is he being pulled or is he searching?",WS -> MS,Eye,Static -> Pedestal Up -> Slow push-in (dolly),35,,,,,,The boy turing towards the voice should look very similar to the MAN looking up at the woman in the previous shot. Mirror images.],,
,3. EXT. PARK ROAD – LATER,,,,,,,,,,,,,,
,,p.4-5,"1.SLOW PUSH-IN
MAN & WOMAN walking the road, MAN pockets lighter. WOMAN's train anecdote (smoking).
'Feels like fate, no?' / 'I am indifferent to fate.' — singles as needed.
2. STATIC NOW
They look up — notice a 'small beauty.' Tree? Bird? Their eyeline up.",MS (2-shot),Eye,Slow push-in (dolly),35,,800 / T2.8,MAN + WOMAN,Dialogue (sync),1,Walking two-shot. Keokuck/Ste. Genevieve inconsistency — let it land flat.,,
,4. EXT. WOODS – LATER,,,,,,,,,,,,,,
,Memory Stain 2-01,Memory Stain 2,"BOY navigates woods, cuts through bushes/trees, arrives at an opening. VO of MAN/WOMAN on beauty.",WS,Eye,Tracking / handheld,50,,800 / T2.8,BOY,MAN+WOMAN VO,2,VO ('It's so beautiful that you think you discovered it…') laid over boy's arrival at opening.,,
,Memory Stain 2-02,Memory Stain 2,BOY at the opening — hold on the threshold.,MS,Eye,Static,85,,800 / T2.8,BOY,VO,1,Threshold image. Mughal-stack candidate (200-600 from 25-40m).,,
,5. EXT. BOLLARD AREA/PARK,,,,,,,,,,,,,,
,3,p.5-6,"1. REVERSE WALKING TWO SHOT 
Camera positioned ahead of MAN and WOMAN as they walk toward it. Occupy the frame together, environment surrounding them. 

2. WOMAN EXITS -  SLIGHT FOLLOW
Woman suddenly moves ahead and exits frame to the left. A slight follow/pan with her departure, but does not fully follow. 

3. HOLD ON MAN 
Camera settles back on MAN and holds. We hear WOMAN's footsteps continuing off-screen. ",MS (2-shot) -> MCU,Eye,"Dolly with ->
Slight FOLLOW/PAN ->
Hold",50,1/8 Pro-Mist,800 / T2.8,MAN + WOMAN,Dialogue,1,"Reverse of the previous walking setup. 

WOMAN's quick exit should feel slightly unexpected; camera resists following her. 

Woman exits after man says ""What's the hurry?""

",,
,2,p.6,"1. ASCENDING / FOLLOW
Camera frames WOMAN as she walks up the rustic stone stairs, MAN following behind. WOMAN stops. Man stops behind her. 

2. TILT TO FINAL FRAME
WOMAN slowly turns to look back. MAN looks up toward her. A subtle tilt into the final composition and holds on the two of them, creating a painterly shot. ",WS,Eye,Slight Tilt -> Static,85,1/8 Pro-Mist,800 / T2.8,MAN / WOMAN,Dialogue,2,"Painterly composition. Emphasize the old stone stairs, depth, and surrounding landscape. 

WOMAN should slowly look back as it tilts up to her. Then hold. ",,
,p-14,p.6-7,"Wedding reveal ('Guatemala / Digging wells'). WOMAN moves, returns to closer bollard.",MS,Eye,Static (reframe on move),85,1/8 Pro-Mist,800 / T2.8,WOMAN,Dialogue,1,Blocking: distance closes as she sits nearer. Movement = meaning.,,
,p-15,p.7-8,"Memory / Bourgeois debate, walking + silence. 'All memories are an invention of repression.'",MS (2-shot),Eye,Dolly / walk-with,50,1/8 Pro-Mist,800 / T2.8,MAN + WOMAN,Dialogue,2,Dense philosophical exchange — push WOMAN toward stillness/silence (Bressonian; memorization load).,,
,p-16,p.8-9,'Read me from your book' — WOMAN reads (insert passage TBD). MAN: jacket 'reeks of genealogy.',MCU,Eye,Static,85,1/8 Pro-Mist,800 / T2.8,WOMAN,Dialogue,2,Insert passage still placeholder — LOCK before shoot. Jacket = mother's; the color note ('best color… for the leaves').,,
,p-17,p.9,MAN walks away (transition out).,WS,Eye,Static / let exit frame,50,1/8 Pro-Mist,800 / T2.8,MAN,amb,1,Exit clears to Memory Stain 3.,,
,6. EXT. WOODS – CONTINUOUS,,,,,,,,,,,,,,
,2,Memory Stain 3,"1. TILT UP
Camera is positioned in the forest, tilted down. BOY walks past camera. As he passes, camera slowly tilts up, revealing the field and the bed/manger

2. HOLD / APPROACH
Camera settles with the bed/manger centered in frame. BOY makes his way toward the bed and stops. ",WS → EWS,High,Tilt up -> Hold,50→85,1/8 Pro-Mist,800 / T2.8,BOY / bed,amb (wordless),2,"BED stays a BED — do NOT style as manger (over-determination flag). Don't light too pictorially.

The BED/MANGER should be clearly isolated in the landscape as it is revealed. ",,
,1,Memory Stain 3,"MATCH CUT — BOY'S HAND
From the previous shot, BOY reaches toward the cloth. Match cut to a close-up of his hand running slowly through the cloth. ",CU,High (slight),Static,50,1/8 Pro-Mist,800 / T2.8,BOY,amb,2,Forest-side angle; maintain spatial continuity with previoius shot. Not the reverse angle. ,,
,3,Memory Stain 3,"1. PAN / FOLLOW — BOY
From the forest side, camera pans/follows BOY as he climbs onto the bed, settling on him — tight MCU. 

2. APPARENT STATIC — JUMPING
Camera holds an apparently static tight MCU as BOY begins jumping on the bed. Each jump carries his head out of frame; he lands back into the same tight MCU. Initially facing the camera, BOY smiles. After several jumps, he naturally turns to the opposite side. Boy then drops to his knees, completely exiting frame.

3. WAIT / PAN-FOLLOW — BOY
Camera holds on the empty frame. After a beat, camera follows BOY down, finding him on his knees on the bed, head bowed. 
",MCU,Low (slight),"Pan / Follow ->
Static ->
Follow Down ",85,1/8 Pro-Mist,800 / T2.8,BOY,amb,2,"MUST hit a consistent landing mark. 

Camera remains essentially static during the jump; minor operator adjustments only.
 
Hold for a beat before FOLLOW-DOWN to find him again.",,
,1,Memory Stain 3,"STATIC — HAND
CU of BOY's hands flat on the bed. One hand curls into a fist, gripping and twisting the sheet. ",CU,Eye,Static,35,1/8 Pro-Mist,800 / T2.8,BOY,amb,1,Slow curl of fist; deliberate grip on sheet. ,,
